code_metier,code_competence,poids,niveau_requis,est_actif,date_creation,date_mise_a_jour
OP009,COMP86,2.0,3.0,true,2025-09-03 13:56:09,2025-09-11 07:19:33
OP009,COMP87,2.0,3.0,true,2025-09-03 13:56:09,2025-09-11 07:19:34
OP009,COMP88,2.0,3.0,true,2025-09-03 13:56:09,2025-09-11 07:19:35
OP009,COMP89,2.0,4.0,true,2025-09-03 13:56:10,2025-09-11 07:19:36
OP009,COMP90,2.0,3.0,true,2025-09-03 13:56:10,2025-09-11 07:19:37
OP010,COMP29,2.0,2.0,true,2025-09-03 13:56:01,2025-09-11 07:16:57
OP010,COMP39,2.0,4.0,true,2025-09-03 13:56:01,2025-09-11 07:16:55
OP010,COMP40,2.0,4.0,true,2025-09-03 13:56:01,2025-09-11 07:16:56
OP010,COMP450,2.0,4.0,true,2025-09-03 13:56:01,2025-09-11 07:17:02
OP010,COMP453,2.0,4.0,true,2025-09-03 13:56:01,2025-09-11 07:17:02
OP010,COMP458,2.0,4.0,true,2025-09-03 13:56:01,2025-09-11 07:17:00
OP010,COMP459,2.0,3.0,true,2025-09-03 13:56:01,2025-09-11 07:17:00
OP010,COMP462,2.0,3.0,true,2025-09-03 13:56:01,2025-09-11 07:17:01
OP010,COMP463,2.0,4.0,true,2025-09-03 13:56:01,2025-09-11 07:17:03
OP010,COMP464,2.0,3.0,true,2025-09-03 13:56:01,2025-09-11 07:17:01
OP010,COMP554,2.0,3.0,true,2025-09-03 13:56:01,2025-09-11 07:16:58
OP010,COMP558,2.0,3.0,true,2025-09-03 13:56:01,2025-09-11 07:16:59
OP010,COMP576,2.0,2.0,true,2025-09-03 13:56:02,2025-09-11 07:17:03
OP010,COMP577,2.0,4.0,true,2025-09-03 13:56:02,2025-09-11 07:17:07
OP010,COMP579,2.0,3.0,true,2025-09-03 13:56:02,2025-09-11 07:17:04
OP010,COMP58,2.0,3.0,true,2026-02-25 05:12:27,2026-02-25 05:12:36
OP010,COMP581,2.0,4.0,true,2025-09-03 13:56:02,2025-09-11 07:17:05
OP010,COMP583,2.0,4.0,true,2025-09-03 13:56:02,2025-09-11 07:17:06
OP010,COMP588,2.0,3.0,true,2025-09-03 13:56:02,2025-09-11 07:17:06
OP010,COMP591,2.0,4.0,true,2025-09-03 13:56:02,2025-09-11 07:17:05
OP010,COMP594,2.0,2.0,true,2025-09-03 13:56:02,2025-09-11 07:17:04
OP010,COMP597,2.0,3.0,true,2025-09-03 13:56:02,2025-09-11 07:17:07
OP010,COMP598,2.0,3.0,true,2025-09-03 13:56:02,2025-09-11 07:17:08
OP010,COMP61,2.0,2.0,true,2026-02-25 05:13:24,2026-02-25 05:14:02
OP011,COMP115,2.0,3.0,true,2025-09-03 13:57:45,2025-09-11 08:46:26
OP011,COMP116,2.0,3.0,true,2025-09-03 13:57:45,2025-09-11 08:46:23
OP011,COMP29,2.0,3.0,true,2025-09-03 13:57:45,2025-09-11 08:46:30
OP011,COMP39,2.0,3.0,true,2026-02-25 05:15:56,2026-02-25 05:16:18
OP011,COMP40,2.0,3.0,true,2026-02-25 05:16:07,2026-02-25 05:16:18
OP011,COMP483,2.0,3.0,true,2025-09-03 13:57:45,2025-09-11 08:46:34
OP011,COMP490,2.0,3.0,true,2025-09-03 13:57:45,2025-09-11 08:46:38
OP011,COMP491,2.0,4.0,true,2025-09-03 13:57:45,2025-09-11 08:46:42
OP011,COMP492,2.0,3.0,true,2025-09-03 13:57:45,2025-09-11 08:46:45
OP011,COMP506,2.0,3.0,true,2025-09-03 13:57:45,2025-09-11 08:46:49
OP011,COMP528,2.0,3.0,true,2025-09-03 13:57:45,2025-09-11 08:46:53
OP011,COMP547,2.0,3.0,true,2025-09-03 13:57:45,2025-09-11 08:46:57
