code_competence,nom_competence,id_categorie_detention,date_mise_a_jour
COMP514,Fixer un objectif,well_held,2025-09-03 13:38:38
COMP465,Arbitrer,moderately_held,2025-09-03 13:38:32
COMP471,Auditer,poorly_held,2025-09-03 13:38:33
COMP101,Règles de raccordement postale et d'adressage,moderately_held,2025-09-03 13:38:03
COMP40,Connaissance de la réglementation LCB-FT,poorly_held,2025-09-03 13:38:01
COMP61,Connaissance de l'organisation du fonctionnement et des processus de l'OPT-NC,well_held,2026-02-25 04:15:39
COMP47,Maitriser les systèmes d'exploitation,poorly_held,2025-09-03 13:38:02
COMP566,Traduire un projet en plan d'actions,moderately_held,2025-09-03 13:38:44
COMP281,Fonctionnement des différents types d'outillage.,poorly_held,2025-09-03 13:38:15
COMP565,"Synthétiser des informations, des données, un document",moderately_held,2025-09-03 13:38:44
COMP379,Technologie et normes en bâtiment et génie civil.,poorly_held,2025-09-03 13:38:23
COMP122,Connaissance de la démarché qualité,poorly_held,2025-09-03 13:38:04
COMP559,Représenter,moderately_held,2025-09-03 13:38:43
COMP255,Ingénierie et processus métier,poorly_held,2025-09-03 13:38:13
COMP543,Piloter une activité,moderately_held,2025-09-03 13:38:41
COMP331,Permis poids lourd,poorly_held,2025-09-03 13:38:19
COMP18,Système d'exploitation Linux,poorly_held,2025-09-03 13:38:01
COMP187,Connaissance d'approches Agiles ou Lean,poorly_held,2025-09-03 13:38:08
COMP547,"Prendre en compte un contexte, une contrainte, une complexité",well_held,2025-09-03 13:38:42
COMP480,Conduire le changement,moderately_held,2026-03-30 04:44:09
COMP104,"Règles et normes en matière d'installations photovoltaïques, climatisations et électriques ; études de conception de ces installations",poorly_held,2025-09-03 13:38:04
COMP544,"Piloter une étude, une recherche",poorly_held,2025-09-03 13:38:42
COMP347,Réglementation postale et des domaines foncitonnels couverts,poorly_held,2025-09-03 13:38:20
COMP407,Connaissance du plan stratégique de l'Office,poorly_held,2026-03-18 06:01:58
COMP614,Connaissance des logiciels de dessins assistés par ordinateur (DAO et CAO) et base de données SIG,poorly_held,2026-02-04 22:15:40
COMP183,"Maitrise sur les frameworks J2EE : Hibernate, Spring, Spring boot, Spring integration, Spring batch, ...",poorly_held,2025-09-03 13:38:08
COMP475,Communiquer dans un contexte de crise,well_held,2025-09-03 13:38:33
COMP6,"Analyse, urbanisation, modélisation, architectures logicielles, SGBDR, BI,",poorly_held,2025-09-03 13:38:01
COMP524,Innover,poorly_held,2026-03-16 23:16:37
COMP561,"Retranscrire un besoin, un concept, une information, une donnée",poorly_held,2025-09-03 13:38:44
COMP273,Techniques de diagnostic et d'inventaire.,poorly_held,2025-09-03 13:38:14
COMP15,Sécurité des réseaux,poorly_held,2025-09-03 13:38:01
COMP575,"Valoriser une action, une production",poorly_held,2025-09-03 13:38:46
COMP589,Etre diplomate,well_held,2025-09-03 13:38:47
COMP534,"Mettre en œuvre une méthode, une technique, un système, un dispositif",well_held,2025-09-03 13:38:40
COMP523,Gérer une situation de stress,well_held,2025-09-03 13:38:39
COMP533,Mettre en forme un document,moderately_held,2025-09-03 13:38:40
COMP383,Droit de la construction.,poorly_held,2025-09-03 13:38:24
COMP112,Connaissance en droit du travail,poorly_held,2025-09-03 13:38:04
COMP81,Connaissance des produits et services de l'OPT-NC,well_held,2025-09-03 13:38:03
COMP563,S'exprimer à l'oral,poorly_held,2025-09-03 13:38:44
COMP551,Prospecter un marché,poorly_held,2025-09-03 13:38:42
COMP450,"Accompagner un changement, une réforme, un dispositif",moderately_held,2025-09-03 13:38:30
COMP595,Maîtrise de soi,well_held,2025-09-03 13:38:48
COMP322,Etablissement des tableaux de bord,poorly_held,2025-09-03 13:38:18
COMP597,Sens de l'organisation,well_held,2025-10-23 04:15:11
COMP502,Elaborer un budget,moderately_held,2025-09-03 13:38:36
