code_competence,nom_competence,id_categorie_detention,date_mise_a_jour
COMP390,Système d'exploitation i5/OS,poorly_held,2025-09-03 13:38:24
COMP468,Assister,moderately_held,2025-09-03 13:38:32
COMP50,Connaissance de la chaîne d'approvisionnment,well_held,2025-09-03 13:38:02
COMP316,Connaissance du ou des matériels et équipements relevant de son périmètre d'activité.,well_held,2026-02-25 23:48:57
COMP289,"Règles d'entretien et de gestion écoresponsable d'un bâtiment (tri sélectif, économies d'eau, etc.)",poorly_held,2025-09-03 13:38:15
COMP452,Agir en situation difficile,well_held,2025-09-03 13:38:31
COMP235,"Réalisation des diagnostics, conseil aux prestataires et proposition de solutions en cas de difficultés rencontrées.",poorly_held,2025-09-03 13:38:11
COMP424,Connaissance des processus de l'OPT-NC applicables à la gestion courante des réseaux et services.,moderately_held,2026-02-25 23:48:57
COMP34,Techniques de débroussaillage et de désherbage.,poorly_held,2025-09-03 13:38:01
COMP352,Psychologie du travail,poorly_held,2025-10-28 07:36:59
COMP486,Contribuer,well_held,2025-09-03 13:38:34
COMP200,Techniques de phoning,well_held,2026-02-26 00:26:18
COMP83,"Techniques de vente (processus de vente : prospection,accueil client, découverte du besoin, présentation produits,négociation, suivi du client...)",well_held,2026-02-25 04:46:51
COMP602,"Prise de décision - Capacité à analyser les situations, à prendre des décisions appropriées et à en assumer la responsabilité pour garantir l'atteinte des objectifs",moderately_held,2025-09-03 13:38:49
COMP582,Sens critique,moderately_held,2025-09-03 13:38:47
COMP588,Capacité à communiquer,well_held,2025-09-03 13:38:47
COMP60,Connaissance des systèmes d'informations de l'OPT-NC,poorly_held,2026-03-16 00:20:06
COMP234,Contrôle du respect des engagements contractuels avec les prestataires,poorly_held,2025-09-03 13:38:11
COMP557,Reformuler une demande,well_held,2025-09-03 13:38:43
COMP80,"Organisation, méthode et processus",moderately_held,2025-09-03 13:38:03
COMP549,"Promouvoir une action, une démarche",well_held,2025-09-03 13:38:42
COMP504,Elaborer une méthode,moderately_held,2025-09-03 13:38:37
COMP580,Etre persévérant,poorly_held,2025-09-03 13:38:46
COMP208,Statistiques,poorly_held,2025-10-27 00:28:06
COMP44,Connaissance des taux de disponibilité cible des équipements et des indicateurs de fonctionnement,poorly_held,2026-02-04 04:34:32
COMP12,Connaissance en Gestion documentaire,poorly_held,2025-09-03 13:38:01
COMP206,Règles de gestion publique,poorly_held,2025-09-03 13:38:09
COMP556,Rédiger un cahier des charges,moderately_held,2025-09-03 13:38:43
COMP550,Proposer,well_held,2025-09-03 13:38:42
COMP492,"Défendre une position, un intérêt",poorly_held,2025-09-03 13:38:35
COMP110,Connaissance de la réglementation sur les statuts de la fonction publique et de l'OPT-NC,poorly_held,2026-02-26 22:38:40
COMP581,Etre rigoureux,well_held,2025-09-03 13:38:46
COMP219,Cadre de référence du contrôle interne,poorly_held,2026-02-04 01:33:55
